-0.169200,-0.351100,0.214100,0.000000,0.910400,-0.413800
0.525500,0.811800,-0.220900,0.006978,0.997800,-0.066670
-0.539300,0.792600,0.225000,-0.576000,-0.000445,0.817500
0.525500,-0.812100,-0.213700,0.001779,-1.000000,-0.002762
0.539100,0.103900,0.225200,0.594800,0.000000,0.803900
-0.541700,0.187000,-0.220700,-0.974900,0.000000,-0.222800
-0.533800,-0.792600,-0.226300,-0.111700,0.003759,-0.993700
0.089080,0.587800,0.223800,0.000000,0.000000,-1.000000
0.089070,0.026280,-0.226500,0.000000,0.096030,-0.995400
0.427500,-0.454200,0.223800,0.000000,0.000000,-1.000000
-0.178100,0.807700,-0.226500,0.000000,0.145100,-0.989400
0.008930,-0.812100,-0.026690,0.000000,-1.000000,0.000000
-0.231500,0.178100,0.226600,0.000000,0.000000,1.000000
0.540900,-0.231500,-0.220900,0.983200,0.000000,-0.182300
0.525400,0.311700,-0.226600,0.002948,0.000000,-1.000000
-0.541800,-0.311700,-0.115800,-1.000000,0.000000,0.000000
-0.400800,-0.801500,0.225900,0.000000,0.022510,0.999700
0.539000,0.709500,0.225200,0.563100,0.008576,0.826300
-0.115800,-0.382200,-0.226300,0.000000,-0.117400,-0.993100
-0.124700,0.387100,-0.142500,0.000000,-1.000000,0.000000
0.133600,-0.035620,0.225600,0.000000,0.000000,1.000000
-0.506300,0.587800,-0.151400,0.999800,-0.018740,0.000000
-0.541800,-0.097950,0.220700,-0.974900,0.000000,0.222700
-0.541800,0.400800,0.178100,-1.000000,0.000000,0.000000
0.302800,-0.811400,0.224900,0.000000,-0.807500,0.589900
0.160300,0.812100,-0.062320,0.000000,1.000000,0.000000
-0.187000,0.812100,0.133600,0.000000,1.000000,0.000000
-0.247800,-0.000872,-0.103200,-0.009831,-0.999900,0.012810
0.204900,-0.389800,-0.071230,0.000000,-1.000000,0.000000
-0.541800,-0.454200,0.220700,-0.974900,0.000000,0.222700
0.231600,0.422600,-0.062330,0.000000,1.000000,0.000000
0.383000,0.034170,-0.071240,0.000000,1.000000,0.000000
0.106900,-0.543200,0.226100,-0.012450,0.043600,0.999000
0.213700,0.276100,0.226600,-0.009353,0.028060,0.999600
-0.222600,0.507600,0.226100,0.012460,-0.043650,0.999000
